elapsed_time_sec,fps,cpu_percent,memory_percent,memory_used_mb
0.16,0,0.0,5.45,439.12
1.16,0,69.9,5.96,480.12
2.18,0.67,242.3,6.66,535.91
3.32,6.94,232.8,6.69,538.91
4.4,5.47,256.1,6.69,538.91
5.52,6.25,258.2,6.69,538.91
6.56,4.99,221.8,6.69,538.91
7.71,6.11,231.0,6.73,541.91
8.85,5.17,249.4,6.73,541.91
9.95,5.43,259.2,6.73,541.91
10.95,6.22,243.4,6.73,541.91
12.09,4.22,255.1,6.73,541.91
13.21,4.22,253.0,6.73,541.91
14.34,5.36,254.0,6.73,541.91
15.45,6.11,258.6,6.73,541.91
16.47,4.69,236.5,6.73,541.91
17.62,6.48,253.5,6.73,541.91
18.76,4.52,239.7,6.73,541.91
19.87,6.16,258.2,6.73,541.91
20.88,5.36,252.6,6.73,541.91
21.88,4.93,238.1,6.73,541.91
23.0,6.9,238.5,6.73,541.91
24.13,5.24,256.2,6.73,541.91
25.28,7.0,240.2,6.73,541.91
26.31,4.49,229.7,6.73,541.91
27.45,4.93,254.8,6.73,541.91
28.61,6.77,238.0,6.73,541.91
29.73,4.5,259.7,6.73,541.91
30.87,6.16,245.7,6.73,541.91
31.88,4.99,232.0,6.73,541.91
33.02,6.16,235.6,6.73,541.91
34.02,5.73,233.7,6.73,541.91
35.15,7.07,252.9,6.73,541.91
36.17,5.15,236.2,6.73,541.91
37.27,5.15,251.3,6.73,541.91
38.45,4.56,235.4,6.73,541.91
39.56,5.9,250.9,6.73,541.91
40.69,4.54,255.5,6.73,541.91
41.73,5.29,226.8,6.73,541.91
42.83,5.72,245.4,6.73,541.91
43.98,5.45,244.1,6.73,541.91
45.11,5.29,249.0,6.73,541.91
46.13,5.34,225.4,6.73,541.91
47.23,5.79,263.3,6.73,541.91
48.37,5.43,233.4,6.73,541.91
49.53,5.98,250.7,6.73,541.91
50.66,6.28,260.6,6.73,541.91
51.68,6.85,235.4,6.73,541.91
52.68,5.16,244.7,6.73,541.91
53.82,7.76,235.9,6.73,541.91
54.82,5.07,231.6,6.73,541.91
55.96,4.57,243.3,6.73,541.91
57.12,4.88,252.0,6.73,541.91
58.26,6.09,254.4,6.73,541.91
59.42,5.32,240.5,6.73,541.91
60.51,6.13,240.2,6.73,541.91
61.53,5.21,228.3,6.73,541.91
62.64,5.21,263.1,6.73,541.91
63.78,4.59,245.1,6.73,541.91
64.91,6.15,253.3,6.73,541.91
65.92,5.3,246.4,6.73,541.91
67.06,4.21,240.2,6.73,541.91
68.19,6.08,256.5,6.73,541.91
69.32,6.08,246.0,6.73,541.91
70.43,4.59,253.9,6.73,541.91
71.44,5.39,243.0,6.73,541.91
72.55,4.21,267.3,6.73,541.91
73.7,6.17,248.4,6.73,541.91
74.81,4.4,260.1,6.73,541.91
75.98,5.46,242.0,6.73,541.91
77.12,5.99,248.1,6.73,541.91
78.24,5.33,248.4,6.73,541.91
79.26,5.38,210.0,6.73,541.91
80.37,5.76,258.4,6.73,541.91
81.47,5.4,222.3,6.73,541.91
82.63,3.98,235.1,6.73,541.91
83.77,5.91,239.9,6.73,541.91
84.87,5.28,249.1,6.73,541.91
86.03,4.63,256.8,6.73,541.91
87.19,5.68,247.7,6.73,541.91
88.34,4.67,237.3,6.73,541.91
89.48,5.94,240.4,6.73,541.91
90.61,5.3,258.3,6.73,541.91
